timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762914847658,384,HTTP Request,200,OK,Thread Group 1-1,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,161,0,115
1762914847658,161,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,161,0,115
1762914847820,222,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,222,0,95
1762914847763,339,HTTP Request,200,OK,Thread Group 1-2,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914847763,88,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914847852,250,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,250,0,92
1762914847863,309,HTTP Request,200,OK,Thread Group 1-3,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,97,0,48
1762914847863,97,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,97,0,48
1762914847960,212,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,212,0,92
1762914847963,306,HTTP Request,200,OK,Thread Group 1-4,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,47
1762914847963,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,47
1762914848057,212,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,212,0,91
1762914848062,306,HTTP Request,200,OK,Thread Group 1-5,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,45
1762914848062,91,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,45
1762914848153,215,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,214,0,94
1762914848258,322,HTTP Request,200,OK,Thread Group 1-7,text,true,,1242,314,5,5,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914848258,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,605,157,5,5,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914848352,228,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,637,157,5,5,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,228,0,95
1762914848162,422,HTTP Request,200,OK,Thread Group 1-6,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914848162,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914848255,329,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,329,0,87
1762914848359,316,HTTP Request,200,OK,Thread Group 1-8,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,81,0,41
1762914848359,81,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,81,0,41
1762914848441,234,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,234,0,101
1762914848460,329,HTTP Request,200,OK,Thread Group 1-9,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,104,0,52
1762914848460,104,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,104,0,52
1762914848565,224,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,224,0,99
1762914848564,371,HTTP Request,200,OK,Thread Group 1-10,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,85,0,43
1762914848564,85,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,85,0,43
1762914848650,285,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,285,0,94
1762914848664,308,HTTP Request,200,OK,Thread Group 1-11,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914848664,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914848756,216,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,216,0,94
1762914848764,316,HTTP Request,200,OK,Thread Group 1-12,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,45
1762914848764,91,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,91,0,45
1762914848855,225,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,225,0,99
1762914848860,312,HTTP Request,200,OK,Thread Group 1-13,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914848860,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914848951,221,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,221,0,98
1762914848963,307,HTTP Request,200,OK,Thread Group 1-14,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914848963,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914849056,214,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,214,0,92
1762914849063,309,HTTP Request,200,OK,Thread Group 1-15,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914849063,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914849154,218,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,218,0,94
1762914849159,314,HTTP Request,200,OK,Thread Group 1-16,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914849159,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914849252,221,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,221,0,98
1762914849263,290,HTTP Request,200,OK,Thread Group 1-17,text,true,,1242,314,3,3,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914849263,89,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,605,157,3,3,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914849353,200,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,637,157,3,3,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,200,0,84
1762914849363,290,HTTP Request,200,OK,Thread Group 1-18,text,true,,1242,314,3,3,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,41
1762914849363,83,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,605,157,3,3,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,41
1762914849447,206,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,637,157,3,3,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,206,0,87
1762914849464,308,HTTP Request,200,OK,Thread Group 1-19,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914849464,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914849555,217,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,217,0,92
1762914849560,316,HTTP Request,200,OK,Thread Group 1-20,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,94,0,47
1762914849560,94,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,94,0,47
1762914849655,221,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,221,0,99
1762914849663,309,HTTP Request,200,OK,Thread Group 1-21,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
